nota,waktu,pembeli
iqbal-1618343930897,2021-04-14 02:58:50.897,iqbal
tri-1646882714093,2022-03-10 10:25:14.093,tri
akbar-1623193792690,2021-06-09 06:09:52.69,akbar
akbar-1626919197504,2021-07-22 08:59:57.504,akbar
iqbal-1648484350505,2022-03-28 23:19:10.505,iqbal
iqbal-1621074229491,2021-05-15 17:23:49.491,iqbal
iqbal-1643873325149,2022-02-03 14:28:45.149,iqbal
akbar-1630535428895,2021-09-02 05:30:28.895,akbar
akbar-1630553475706,2021-09-02 10:31:15.706,akbar
akbar-1644201626727,2022-02-07 09:40:26.727,akbar
jefri-1647636241497,2022-03-19 03:44:01.497,jefri
akbar-1625298285415,2021-07-03 14:44:45.415,akbar
iqbal-1625819256641,2021-07-09 15:27:36.641,iqbal
iqbal-1629490399093,2021-08-21 03:13:19.093,iqbal
tri-1637107927662,2021-11-17 07:12:07.662,tri
iqbal-1624317570709,2021-06-22 06:19:30.709,iqbal
iqbal-1633706948078,2021-10-08 22:29:08.078,iqbal
jefri-1649322181180,2022-04-07 16:03:01.18,jefri
iqbal-1644991851311,2022-02-16 13:10:51.311,iqbal
iqbal-1647329104512,2022-03-15 14:25:04.512,iqbal
akbar-1633050218746,2021-10-01 08:03:38.746,akbar
jefri-1647598234950,2022-03-18 17:10:34.95,jefri
akbar-1645688835590,2022-02-24 14:47:15.59,akbar
iqbal-1620377116964,2021-05-07 15:45:16.964,iqbal
jefri-1625689527684,2021-07-08 03:25:27.684,jefri
tri-1637096609436,2021-11-17 04:03:29.436,tri
iqbal-1620195098939,2021-05-05 13:11:38.939,iqbal
tri-1620864032880,2021-05-13 07:00:32.88,tri
jefri-1632536777039,2021-09-25 09:26:17.039,jefri
akbar-1638185199589,2021-11-29 18:26:39.589,akbar
iqbal-1635220760874,2021-10-26 10:59:20.874,iqbal
jefri-1643250952792,2022-01-27 09:35:52.792,jefri
iqbal-1618083525596,2021-04-11 02:38:45.596,iqbal
akbar-1648890111852,2022-04-02 16:01:51.852,akbar
akbar-1619307653257,2021-04-25 06:40:53.257,akbar
jefri-1648303501047,2022-03-26 21:05:01.047,jefri
iqbal-1642730421267,2022-01-21 09:00:21.267,iqbal
jefri-1625368564464,2021-07-04 10:16:04.464,jefri
tri-1627680534972,2021-07-31 04:28:54.972,tri
akbar-1640666454811,2021-12-28 11:40:54.811,akbar
akbar-1633220983196,2021-10-03 07:29:43.196,akbar
akbar-1627430564660,2021-07-28 07:02:44.66,akbar
jefri-1637326886902,2021-11-19 20:01:26.902,jefri
iqbal-1634406131797,2021-10-17 00:42:11.797,iqbal
tri-1648726601461,2022-03-31 18:36:41.461,tri
akbar-1623034157641,2021-06-07 09:49:17.641,akbar
iqbal-1626353282362,2021-07-15 19:48:02.362,iqbal
iqbal-1622884925797,2021-06-05 16:22:05.797,iqbal
akbar-1618470925183,2021-04-15 14:15:25.183,akbar
akbar-1621016528310,2021-05-15 01:22:08.31,akbar
akbar-1636603055759,2021-11-11 10:57:35.759,akbar
tri-1634976133432,2021-10-23 15:02:13.432,tri
jefri-1642364453182,2022-01-17 03:20:53.182,jefri
jefri-1638822969303,2021-12-07 03:36:09.303,jefri
akbar-1628751811105,2021-08-12 14:03:31.105,akbar
tri-1637114502096,2021-11-17 09:01:42.096,tri
akbar-1631812483637,2021-09-17 00:14:43.637,akbar
akbar-1622819898191,2021-06-04 22:18:18.191,akbar
tri-1618891644462,2021-04-20 11:07:24.462,tri
akbar-1619388381142,2021-04-26 05:06:21.142,akbar
jefri-1639801158532,2021-12-18 11:19:18.532,jefri
akbar-1631483789274,2021-09-13 04:56:29.274,akbar
tri-1630443335340,2021-09-01 03:55:35.34,tri
jefri-1622484242126,2021-06-01 01:04:02.126,jefri
iqbal-1630217206352,2021-08-29 13:06:46.352,iqbal
jefri-1633119086574,2021-10-02 03:11:26.574,jefri
akbar-1649130414233,2022-04-05 10:46:54.233,akbar
iqbal-1634287933379,2021-10-15 15:52:13.379,iqbal
iqbal-1646927110112,2022-03-10 22:45:10.112,iqbal
iqbal-1633857590580,2021-10-10 16:19:50.58,iqbal
tri-1638210411479,2021-11-30 01:26:51.479,tri
akbar-1631722114303,2021-09-15 23:08:34.303,akbar
iqbal-1626007845329,2021-07-11 19:50:45.329,iqbal
jefri-1626871071319,2021-07-21 19:37:51.319,jefri
jefri-1632410655878,2021-09-23 22:24:15.878,jefri
tri-1622033977335,2021-05-26 19:59:37.335,tri
jefri-1618188249027,2021-04-12 07:44:09.027,jefri
jefri-1621202569214,2021-05-17 05:02:49.214,jefri
tri-1637800417665,2021-11-25 07:33:37.665,tri
akbar-1637061971912,2021-11-16 18:26:11.912,akbar
tri-1632920042948,2021-09-29 19:54:02.948,tri
iqbal-1637794624202,2021-11-25 05:57:04.202,iqbal
jefri-1637581236976,2021-11-22 18:40:36.976,jefri
tri-1629216078968,2021-08-17 23:01:18.968,tri
jefri-1648467281049,2022-03-28 18:34:41.049,jefri
jefri-1644476856165,2022-02-10 14:07:36.165,jefri
tri-1625676526415,2021-07-07 23:48:46.415,tri
iqbal-1646433806374,2022-03-05 05:43:26.374,iqbal
tri-1644042538054,2022-02-05 13:28:58.054,tri
jefri-1644427966479,2022-02-10 00:32:46.479,jefri
iqbal-1627182092389,2021-07-25 10:01:32.389,iqbal
iqbal-1618741213563,2021-04-18 17:20:13.563,iqbal
tri-1632255734675,2021-09-22 03:22:14.675,tri
akbar-1624290804961,2021-06-21 22:53:24.961,akbar
akbar-1637561212722,2021-11-22 13:06:52.722,akbar
jefri-1628767278348,2021-08-12 18:21:18.348,jefri
iqbal-1648732567048,2022-03-31 20:16:07.048,iqbal
tri-1622089929820,2021-05-27 11:32:09.82,tri
iqbal-1649014936617,2022-04-04 02:42:16.617,iqbal
akbar-1628850216259,2021-08-13 17:23:36.259,akbar
iqbal-1644576857672,2022-02-11 17:54:17.672,iqbal
tri-1640787124005,2021-12-29 21:12:04.005,tri
jefri-1621987180926,2021-05-26 06:59:40.926,jefri
iqbal-1636851870222,2021-11-14 08:04:30.222,iqbal
akbar-1624625400926,2021-06-25 19:50:00.926,akbar
jefri-1632977431851,2021-09-30 11:50:31.851,jefri
akbar-1646239207773,2022-03-02 23:40:07.773,akbar
iqbal-1621296672340,2021-05-18 07:11:12.34,iqbal
tri-1621057782441,2021-05-15 12:49:42.441,tri
akbar-1631132567592,2021-09-09 03:22:47.592,akbar
tri-1644552509695,2022-02-11 11:08:29.695,tri
iqbal-1622708021761,2021-06-03 15:13:41.761,iqbal
jefri-1623071571114,2021-06-07 20:12:51.114,jefri
tri-1643337325658,2022-01-28 09:35:25.658,tri
jefri-1628992012295,2021-08-15 08:46:52.295,jefri
akbar-1647698981894,2022-03-19 21:09:41.894,akbar
iqbal-1629291718424,2021-08-18 20:01:58.424,iqbal
iqbal-1648530412739,2022-03-29 12:06:52.739,iqbal
akbar-1624452582238,2021-06-23 19:49:42.238,akbar
tri-1626599210411,2021-07-18 16:06:50.411,tri
akbar-1630927844658,2021-09-06 18:30:44.658,akbar
jefri-1643172897238,2022-01-26 11:54:57.238,jefri
iqbal-1645200792942,2022-02-18 23:13:12.942,iqbal
jefri-1647451701830,2022-03-17 00:28:21.83,jefri
akbar-1633497094029,2021-10-06 12:11:34.029,akbar
iqbal-1634833541814,2021-10-21 23:25:41.814,iqbal
tri-1626643225211,2021-07-19 04:20:25.211,tri
iqbal-1642352795162,2022-01-17 00:06:35.162,iqbal
jefri-1645555642512,2022-02-23 01:47:22.512,jefri
tri-1643346714673,2022-01-28 12:11:54.673,tri
iqbal-1644298610928,2022-02-08 12:36:50.928,iqbal
jefri-1625693708766,2021-07-08 04:35:08.766,jefri
jefri-1637934514352,2021-11-26 20:48:34.352,jefri
iqbal-1638317342571,2021-12-01 07:09:02.571,iqbal
jefri-1647523492201,2022-03-17 20:24:52.201,jefri
jefri-1630417122104,2021-08-31 20:38:42.104,jefri
iqbal-1620493894939,2021-05-09 00:11:34.939,iqbal
akbar-1644463981818,2022-02-10 10:33:01.818,akbar
akbar-1623802235861,2021-06-16 07:10:35.861,akbar
akbar-1635358039392,2021-10-28 01:07:19.392,akbar
jefri-1631309136375,2021-09-11 04:25:36.375,jefri
tri-1626349577006,2021-07-15 18:46:17.006,tri
tri-1621577736096,2021-05-21 13:15:36.096,tri
akbar-1641304688314,2022-01-04 20:58:08.314,akbar
jefri-1643369572819,2022-01-28 18:32:52.819,jefri
jefri-1620808954152,2021-05-12 15:42:34.152,jefri
tri-1624029403493,2021-06-18 22:16:43.493,tri
akbar-1648422191548,2022-03-28 06:03:11.548,akbar
jefri-1636528052359,2021-11-10 14:07:32.359,jefri
akbar-1636531891280,2021-11-10 15:11:31.28,akbar
jefri-1646173694906,2022-03-02 05:28:14.906,jefri
tri-1648032044942,2022-03-23 17:40:44.942,tri
iqbal-1640824352172,2021-12-30 07:32:32.172,iqbal
akbar-1619160953089,2021-04-23 13:55:53.089,akbar
akbar-1636649266940,2021-11-11 23:47:46.94,akbar
tri-1643786245362,2022-02-02 14:17:25.362,tri
tri-1640524096555,2021-12-26 20:08:16.555,tri
jefri-1618738361038,2021-04-18 16:32:41.038,jefri
jefri-1622014324240,2021-05-26 14:32:04.24,jefri
jefri-1629912028100,2021-08-26 00:20:28.1,jefri
iqbal-1648555871475,2022-03-29 19:11:11.475,iqbal
jefri-1628146234594,2021-08-05 13:50:34.594,jefri
akbar-1620610172139,2021-05-10 08:29:32.139,akbar
iqbal-1625287850179,2021-07-03 11:50:50.179,iqbal
akbar-1640696018491,2021-12-28 19:53:38.491,akbar
jefri-1624710115138,2021-06-26 19:21:55.138,jefri
iqbal-1626469686119,2021-07-17 04:08:06.119,iqbal
tri-1635333893941,2021-10-27 18:24:53.941,tri
tri-1644102214478,2022-02-06 06:03:34.478,tri
iqbal-1627922284000,2021-08-02 23:38:04.0,iqbal
tri-1628167127259,2021-08-05 19:38:47.259,tri
iqbal-1630856696612,2021-09-05 22:44:56.612,iqbal
